"id","wealth","role","forced_honest","guarded_by","time","guarded"
28,0.15231252933419,"freelance_thief",FALSE,NA,40,FALSE
29,0.175994699632651,"freelance_thief",FALSE,NA,40,FALSE
30,0.870618681634278,"stay",FALSE,NA,40,FALSE
31,0.823004915118351,"elite",FALSE,46,40,TRUE
32,0.145522368281922,"freelance_thief",FALSE,NA,40,FALSE
33,0.5793566555421,"stay",FALSE,NA,40,FALSE
34,0.145515415936841,"freelance_thief",FALSE,NA,40,FALSE
35,0.116966970104338,"freelance_thief",FALSE,NA,40,FALSE
36,0.210048227292427,"freelance_thief",FALSE,NA,40,FALSE
37,0.884464974434566,"stay",FALSE,NA,40,FALSE
38,0.880626413498837,"stay",FALSE,NA,40,FALSE
39,0.833384644199317,"stay",FALSE,NA,40,FALSE
40,0.858196376993906,"stay",FALSE,NA,40,FALSE
41,0.173757558937916,"freelance_thief",FALSE,NA,40,FALSE
42,0.13861793292842,"freelance_thief",FALSE,NA,40,FALSE
43,0.826575859117972,"elite",FALSE,23,40,TRUE
44,0.818181410184636,"elite",FALSE,52,40,TRUE
45,0.221203762586348,"freelance_thief",FALSE,NA,40,FALSE
46,0.154003066064623,"guard",FALSE,NA,40,FALSE
47,0.145316689228076,"freelance_thief",FALSE,NA,40,FALSE
48,0.688507747094947,"stay",FALSE,NA,40,FALSE
49,0.59991746062649,"stay",FALSE,NA,40,FALSE
50,0.150034163639493,"freelance_thief",FALSE,NA,40,FALSE
51,0.105866229342628,"freelance_thief",FALSE,NA,40,FALSE
52,0.167921994144065,"guard",FALSE,NA,40,FALSE
53,0.174836087721475,"freelance_thief",FALSE,NA,40,FALSE
54,0.884342239934872,"stay",FALSE,NA,40,FALSE
55,0.194038867805216,"freelance_thief",FALSE,NA,40,FALSE
56,0.822888448435901,"elite",FALSE,13,40,TRUE
57,0.0565341238050616,"freelance_thief",FALSE,NA,40,FALSE
58,0.148898245428382,"freelance_thief",FALSE,NA,40,FALSE
59,0.196809418357806,"freelance_thief",FALSE,NA,40,FALSE
60,0,"inactive",FALSE,NA,40,FALSE
1,0.0318644812890625,"honest",TRUE,NA,41,FALSE
2,0.572995108056293,"stay",FALSE,NA,41,FALSE
3,0.180466526176715,"freelance_thief",FALSE,NA,41,FALSE
4,0.863331871824344,"stay",FALSE,NA,41,FALSE
5,0.811722354820789,"stay",FALSE,NA,41,FALSE
6,0.189289271275468,"guard",FALSE,NA,41,FALSE
7,0.745832972080603,"stay",FALSE,NA,41,FALSE
8,0.64572262339441,"stay",FALSE,NA,41,FALSE
9,0.145727052621521,"freelance_thief",FALSE,NA,41,FALSE
10,0.666000868777626,"stay",FALSE,NA,41,FALSE
11,0.158491717758969,"freelance_thief",FALSE,NA,41,FALSE
12,0.135155023185099,"freelance_thief",FALSE,NA,41,FALSE
13,0.181092193855799,"guard",FALSE,NA,41,FALSE
14,0.799251237169264,"elite",FALSE,51,41,TRUE
15,0.170071354821377,"freelance_thief",FALSE,NA,41,FALSE
16,0.164705368703869,"freelance_thief",FALSE,NA,41,FALSE
17,0.0725077976420311,"freelance_thief",FALSE,NA,41,FALSE
18,0.179517615988282,"freelance_thief",FALSE,NA,41,FALSE
19,0.716859555321827,"stay",FALSE,NA,41,FALSE
20,0.797583015801628,"elite",FALSE,6,41,TRUE
21,0.11723059854972,"guard",FALSE,NA,41,FALSE
22,0.19834532999689,"freelance_thief",FALSE,NA,41,FALSE
23,0.13461416606657,"freelance_thief",FALSE,NA,41,FALSE
24,0.864479662851745,"stay",FALSE,NA,41,FALSE
25,0.85803484136785,"stay",FALSE,NA,41,FALSE
26,0.107401186515702,"freelance_thief",FALSE,NA,41,FALSE
27,0.844244114896511,"stay",FALSE,NA,41,FALSE
28,0.0790031440672233,"freelance_thief",FALSE,NA,41,FALSE
29,0.228770481347704,"freelance_thief",FALSE,NA,41,FALSE
30,0.790618681634278,"elite",FALSE,35,41,TRUE
31,0.823004915118351,"stay",FALSE,NA,41,FALSE
32,0.119399525081986,"freelance_thief",FALSE,NA,41,FALSE
33,0.5793566555421,"stay",FALSE,NA,41,FALSE
34,0.0502061663747365,"freelance_thief",FALSE,NA,41,FALSE
35,0.0540920541649037,"guard",FALSE,NA,41,FALSE
36,0.240981056191099,"freelance_thief",FALSE,NA,41,FALSE
37,0.804464974434566,"elite",FALSE,57,41,TRUE
38,0.800626413498837,"elite",FALSE,13,41,TRUE
39,0.833384644199317,"stay",FALSE,NA,41,FALSE
40,0.858196376993906,"stay",FALSE,NA,41,FALSE
41,0.201544502269688,"freelance_thief",FALSE,NA,41,FALSE
42,0.134847896452297,"freelance_thief",FALSE,NA,41,FALSE
43,0.826575859117972,"stay",FALSE,NA,41,FALSE
44,0.818181410184636,"stay",FALSE,NA,41,FALSE
45,0.264327931036198,"freelance_thief",FALSE,NA,41,FALSE
46,0.129003649874996,"freelance_thief",FALSE,NA,41,FALSE
47,0.203785102178126,"freelance_thief",FALSE,NA,41,FALSE
48,0.688507747094947,"stay",FALSE,NA,41,FALSE
49,0.59991746062649,"stay",FALSE,NA,41,FALSE
50,0.197947767371318,"freelance_thief",FALSE,NA,41,FALSE
51,0.185866229342628,"guard",FALSE,NA,41,FALSE
52,0.116042031123532,"freelance_thief",FALSE,NA,41,FALSE
53,0.106019524518572,"freelance_thief",FALSE,NA,41,FALSE
