"initial_honest","rep","dominant_regime","final_gini","final_top10","final_welfare","first_patron","first_guard","patron_complex_share_t3","guard_share_5pct_time"
1,1,"Guard regime",0.430925297840775,0.212739535739533,17.0325270533404,2,8,0.566666666666667,9
2,1,"Guard regime",0.434127809727921,0.213524909562369,16.6790470173436,2,8,0.7,12
3,1,"Guard regime",0.456741257199379,0.211957555328109,19.0453820103531,2,7,0.733333333333333,12
4,1,"Guard regime",0.452231852688743,0.211772356166536,18.6440256479513,2,9,0.533333333333333,10
5,1,"Guard regime",0.44270027317543,0.212534711050338,16.0141482536846,2,9,0.6,11
1,2,"Guard regime",0.418077055547281,0.209746067731429,15.2809321141728,2,8,0.633333333333333,10
2,2,"Guard regime",0.431906057920669,0.213619327525268,15.7940603988716,2,8,0.666666666666667,9
3,2,"Guard regime",0.438628582919386,0.208928172159034,16.5324413255832,2,9,0.566666666666667,10
4,2,"Guard regime",0.424589777151129,0.207308062547898,15.8739225493987,2,9,0.6,10
5,2,"Guard regime",0.431174535234228,0.205868916287089,18.0369345168725,2,9,0.566666666666667,10
1,3,"Guard regime",0.471680263704714,0.209181052719238,18.8179222175904,2,8,0.6,16
2,3,"Guard regime",0.455880867166982,0.212571637525106,16.5017171559922,2,9,0.533333333333333,10
3,3,"Guard regime",0.456306242659379,0.211028903238646,18.6690431263979,2,7,0.666666666666667,16
4,3,"Guard regime",0.441273410698934,0.212513592838552,16.40888224617,2,8,0.733333333333333,12
5,3,"Guard regime",0.434593918398784,0.207730734927303,17.0724382768172,2,9,0.666666666666667,10
1,4,"Guard regime",0.422548434022328,0.212385947427035,16.100869266324,2,7,0.733333333333333,14
2,4,"Guard regime",0.451264881605643,0.209841504625361,19.821013220972,2,8,0.7,14
3,4,"Guard regime",0.41672877025589,0.212109281863659,16.4011422200939,2,8,0.733333333333333,12
4,4,"Guard regime",0.407329656383143,0.208470118439221,17.901772351274,2,8,0.833333333333333,9
5,4,"Guard regime",0.426774898006034,0.214323323099112,14.4664849302334,2,8,0.566666666666667,11
1,5,"Guard regime",0.434120765358072,0.208261679369644,16.1812645889756,2,7,0.766666666666667,12
2,5,"Guard regime",0.42745688568704,0.211787355403797,15.7544833410839,2,8,0.7,9
3,5,"Guard regime",0.441357702753404,0.210985584428515,17.2468676240527,2,8,0.666666666666667,15
4,5,"Guard regime",0.426132429108856,0.205440093559772,18.4708403939475,2,8,0.833333333333333,15
5,5,"Guard regime",0.440710393357145,0.209642840767542,17.5203328408444,2,9,0.633333333333333,10
1,6,"Guard regime",0.421362110992291,0.211466204199187,17.6296138060176,2,8,0.766666666666667,10
2,6,"Guard regime",0.438967271339838,0.210012143181668,14.4507779428031,2,8,0.633333333333333,10
3,6,"Guard regime",0.437883980002957,0.210113372897713,18.4005941247022,2,8,0.8,14
4,6,"Guard regime",0.447231515800393,0.209862093789821,17.3708645177374,2,8,0.766666666666667,11
5,6,"Guard regime",0.439891898156465,0.210197702426381,18.208030819344,2,8,0.666666666666667,14
1,7,"Guard regime",0.43874176871704,0.211773776062571,15.8351084995499,2,8,0.533333333333333,10
2,7,"Guard regime",0.445478141819475,0.211737150532596,16.2230101753437,2,8,0.7,9
3,7,"Guard regime",0.446683619804804,0.21105033495078,15.4947486251079,2,8,0.666666666666667,10
4,7,"Guard regime",0.429386878508514,0.210577654114113,15.026295388473,2,8,0.7,9
5,7,"Guard regime",0.426950555953874,0.2086414020288,15.7611081316428,2,8,0.566666666666667,10
1,8,"Guard regime",0.449389137851423,0.212088287335986,16.4181929424232,2,8,0.533333333333333,9
2,8,"Guard regime",0.435170337914744,0.21166053726492,16.7927522854473,2,8,0.633333333333333,9
3,8,"Guard regime",0.418689224896787,0.2105405600514,18.0821408105158,2,7,0.8,15
4,8,"Guard regime",0.463151525042803,0.212999657362294,16.5387743183441,2,8,0.733333333333333,10
5,8,"Guard regime",0.433148214939015,0.2119027594877,16.4117010059542,2,8,0.633333333333333,12
