"id","wealth","role","forced_honest","time","group"
29,1,"freelance_thief",FALSE,8,"Other agents"
30,1,"freelance_thief",FALSE,8,"Other agents"
31,1,"freelance_thief",FALSE,8,"Other agents"
32,1,"freelance_thief",FALSE,8,"Other agents"
33,1,"freelance_thief",FALSE,8,"Other agents"
34,1,"freelance_thief",FALSE,8,"Other agents"
35,1,"freelance_thief",FALSE,8,"Other agents"
36,1,"freelance_thief",FALSE,8,"Other agents"
37,1,"freelance_thief",FALSE,8,"Other agents"
38,1,"freelance_thief",FALSE,8,"Other agents"
39,1,"freelance_thief",FALSE,8,"Other agents"
40,1,"freelance_thief",FALSE,8,"Other agents"
41,1,"freelance_thief",FALSE,8,"Other agents"
42,1,"freelance_thief",FALSE,8,"Other agents"
43,1,"freelance_thief",FALSE,8,"Other agents"
44,1,"freelance_thief",FALSE,8,"Other agents"
45,1,"freelance_thief",FALSE,8,"Other agents"
46,1,"freelance_thief",FALSE,8,"Other agents"
47,1,"freelance_thief",FALSE,8,"Other agents"
48,1,"freelance_thief",FALSE,8,"Other agents"
49,1,"freelance_thief",FALSE,8,"Other agents"
50,1,"freelance_thief",FALSE,8,"Other agents"
51,1,"freelance_thief",FALSE,8,"Other agents"
52,1,"freelance_thief",FALSE,8,"Other agents"
53,0,"freelance_thief",FALSE,8,"Other agents"
54,0,"freelance_thief",FALSE,8,"Other agents"
55,0,"freelance_thief",FALSE,8,"Other agents"
56,0,"freelance_thief",FALSE,8,"Other agents"
57,0,"freelance_thief",FALSE,8,"Other agents"
58,0,"freelance_thief",FALSE,8,"Other agents"
59,0,"freelance_thief",FALSE,8,"Other agents"
