"total_wealth","utilitarian_welfare","theft_costs","contracting_costs","guarding_costs","punishment_losses","gini","top10_share","n_honest","n_patrons","n_hired_thieves","n_freelance","n_guards","n_idle","time","n_agents","rich_threshold","elite_threshold","regime"
60,41.5888308335967,0,0,0,0,0,0.1,1,0,0,59,0,0,0,60,1.15,2.1,"Balanced cycle"
58.8399999999999,39.541591629344,1.18,0,0,0,0.0334126444595528,0.117267165193746,1,0,0,59,0,0,1,60,1.12776666666667,2.0594,"Balanced cycle"
57.67,38.0497550181106,1.14,0.03,0,0,0.222857282095869,0.161697451014392,1,1,1,56,0,1,2,60,1.10534166666667,2.01845,"Patronage"
56.28,36.4837316372443,0.7,0.69,0,0,0.282785915967182,0.176639227684082,1,23,23,12,0,1,3,60,1.0787,1.9698,"Patronage"
54.86,35.1561500587359,0.64,0.78,0,0,0.325651159587998,0.18848183987008,1,26,26,6,0,1,4,60,1.05148333333333,1.9201,"Patronage"
53.44,33.8099065759072,0.64,0.78,0,0,0.367170687566337,0.199803604790326,1,26,26,6,0,1,5,60,1.02426666666667,1.8704,"Patronage"
52.01,32.5164475276856,0.62,0.81,0,0,0.400565924630697,0.208817403365785,1,27,27,4,0,1,6,60,0.996858333333333,1.82035,"Patronage"
50.62,31.3793039189089,0.58,0.81,0.08,0,0.421335672426657,0.215035265734945,1,27,27,2,1,1,7,60,0.970216666666667,1.7717,"Coexistence"
49.28,30.4111461095033,0.56,0.78,0.16,0,0.438412722241389,0.216051637879327,1,26,26,2,2,1,8,60,0.944533333333333,1.7248,"Coexistence"
47.94,29.5123627971753,0.56,0.78,0.16,0,0.450326186271408,0.217531629838564,1,26,26,2,2,1,9,60,0.91885,1.6779,"Coexistence"
46.6,28.6727695606743,0.56,0.78,0.16,0,0.461926112248557,0.218704663638428,1,26,26,2,2,1,10,60,0.893166666666666,1.631,"Coexistence"
46.06,29.0442712310163,0.54,0,0.24,0,0.46597785078006,0.217220707197623,1,0,0,27,3,26,11,60,0.882816666666666,1.6121,"Guard regime"
45.52,28.914706864751,0.54,0,0.24,0,0.461502934243425,0.215954283750472,1,0,0,27,3,26,12,60,0.872466666666666,1.5932,"Guard regime"
44.8756952639461,28.4007564230042,0.54,0,0.24,0.104304736053845,0.464346897789696,0.215477914086808,1,0,0,27,3,26,13,60,0.860117492558968,1.57064933423812,"Guard regime"
44.2936187926086,28.3424838300884,0.52,0,0.32,0.0620764713375441,0.459065791886557,0.213819777589827,1,0,0,26,4,25,14,60,0.848961026858331,1.5502766577413,"Guard regime"
43.7136187926086,28.1004207425275,0.58,0,0.16,0,0.464441212791529,0.213961850733142,1,0,0,29,2,26,15,60,0.837844360191665,1.5299766577413,"Guard regime"
43.2136187926086,28.0319861365337,0.5,0,0.4,0,0.450190602402966,0.211263562788631,1,0,0,25,5,24,16,60,0.828261026858331,1.5124766577413,"Guard regime"
41.9236187926086,26.6236853599136,0.54,0.75,0.24,0,0.457538937246157,0.214107154262421,1,25,25,2,3,1,17,60,0.803536026858331,1.4673266577413,"Coexistence"
41.4836187926086,26.975873772192,0.44,0,0.64,0,0.447890518558715,0.207548090285939,1,0,0,22,8,21,18,60,0.795102693524998,1.4519266577413,"Guard regime"
40.0436187926086,25.6293783685747,0.6,0.84,0,0,0.463660836654736,0.213011520309224,1,28,28,2,0,1,19,60,0.767502693524998,1.4015266577413,"Patronage"
39.5836187926086,26.1700984212109,0.46,0,0.56,0,0.448121731147123,0.21113198228205,1,0,0,23,7,22,20,60,0.758686026858331,1.3854266577413,"Guard regime"
38.4136187926086,24.9530378858509,0.54,0.63,0.4,0,0.454196372964178,0.215050751566861,1,21,21,6,5,1,21,60,0.736261026858331,1.3444766577413,"Coexistence"
37.2936187926086,24.3241135624106,0.52,0.6,0.48,0,0.453144639964391,0.214182438294764,1,20,20,6,6,1,22,60,0.714794360191665,1.3052766577413,"Coexistence"
36.3236187926086,23.8148228915779,0.46,0.51,0.72,0,0.445277828808271,0.212875655869838,1,17,17,6,9,1,23,60,0.696202693524998,1.2713266577413,"Coexistence"
35.7836187926086,24.3313801635385,0.54,0,0.4,0,0.4403506612656,0.211716649488048,1,0,0,27,5,22,24,60,0.685852693524998,1.2524266577413,"Guard regime"
35.2436187926086,24.022254684204,0.54,0,0.48,0,0.433471842067797,0.211449999111964,1,0,0,27,6,20,25,60,0.675502693524998,1.2335266577413,"Guard regime"
34.1336187926086,22.8031841908736,0.54,0.57,0.48,0,0.438601227614937,0.210239093968229,1,19,19,8,6,1,26,60,0.654227693524998,1.1946766577413,"Coexistence"
