"total_wealth","utilitarian_welfare","theft_costs","contracting_costs","guarding_costs","punishment_losses","gini","top10_share","n_honest","n_patrons","n_hired_thieves","n_freelance","n_guards","n_idle","time","n_agents","rich_threshold","elite_threshold","regime"
33.1142388127225,21.4966380244837,0.58,0,0,0,0.579204890035599,0.2854141647945,1,0,0,29,0,30,29,60,0.634689577243848,1.15899835844529,"Transition"
32.5908800060282,21.2315920495308,0.58,0,0,0,0.58057128132119,0.289997472047107,1,0,0,29,0,30,30,60,0.624658533448874,1.14068080021099,"Transition"
32.056896331388,20.8874517784266,0.54,0,0,0,0.591521307222423,0.294828068064865,1,0,0,27,0,32,31,60,0.614423846351604,1.12199137159858,"Transition"
31.5543733094817,20.6215368918503,0.54,0,0,0,0.595842491786049,0.299523388433096,1,0,0,27,0,32,32,60,0.6047921550984,1.10440306583186,"Transition"
31.1217638438654,20.5453791809937,0.48,0,0,0,0.591273695900966,0.301056563407835,1,0,0,24,0,35,33,60,0.596500473674087,1.08926173453529,"Transition"
30.7017638438654,20.4140222048066,0.42,0,0,0,0.591935860506046,0.305175015926535,1,0,0,21,0,38,34,60,0.588450473674087,1.07456173453529,"Transition"
30.284052450184,20.3547709484559,0.42,0,0,0,0.584885333288373,0.306973713776182,1,0,0,21,0,38,35,60,0.580444338628526,1.05994183575644,"Transition"
29.8566946187809,20.0123425601388,0.44,0,0,0,0.591421835729274,0.311367623493656,1,0,0,22,0,37,36,60,0.572253313526634,1.04498431165733,"Transition"
29.4377237902081,19.9812326204068,0.44,0,0,0,0.581528727514663,0.306033407634662,1,0,0,22,0,37,37,60,0.564223039312321,1.03032033265728,"Transition"
28.3877237902081,18.7143573253698,0.42,0.63,0,0,0.589211925654817,0.313911212666527,1,21,21,0,0,17,38,60,0.544098039312321,0.993570332657283,"Patronage"
27.9677237902081,19.1439110642048,0.42,0,0,0,0.587769086027966,0.317294252487997,1,0,0,21,0,38,39,60,0.536048039312321,0.978870332657283,"Transition"
27.5502741368547,18.9899418876881,0.42,0,0,0,0.582391186048894,0.310142553674694,1,0,0,21,0,38,40,60,0.528046920956381,0.964259594789913,"Transition"
27.1302741368547,19.1299957745466,0.42,0,0,0,0.551803832424683,0.273764904566224,1,0,0,21,0,38,41,60,0.519996920956381,0.949559594789913,"Transition"
26.1302741368547,17.8707166494776,0.4,0.6,0,0,0.561564248366057,0.282061716573807,1,20,20,0,0,19,42,60,0.500830254289714,0.914559594789913,"Patronage"
25.7302741368547,18.2944404526373,0.4,0,0,0,0.562320307853721,0.286446616867889,1,0,0,20,0,39,43,60,0.493163587623048,0.900559594789913,"Transition"
25.3302741368547,18.0445607029991,0.4,0,0,0,0.566002378878221,0.290970004420985,1,0,0,20,0,39,44,60,0.485496920956381,0.886559594789913,"Transition"
24.9302741368547,17.7199085685869,0.4,0,0,0,0.574746830683271,0.295638545213175,1,0,0,20,0,39,45,60,0.477830254289714,0.872559594789913,"Transition"
